ano,id_inscrito,responsavel,nome_responsavel,titulo_livro,isbn,genero_livro,nome_pais_primeira_edicao,tipo_publicacao,autor_nome,autor_genero,autor_idade,autor_nome_pais,autor_nacionalidade,autor_indicador_atividade_economica_principal,autor_educacao_formal,autor_indicador_publicacao_outras_obras,autor_quantidade_obras_publicadas,editora_nome,editora_pais_origem,editora_local_sede,editora_ano_criacao,editora_linha_predominante,editora_canal_distribuicao,editora_tiragem_edicao,editora_financiamento_edicao,editora_grupo_financiamento,editora_site,indicador_outras_edicoes,outras_edicoes_nome_editora,outras_edicoes_ano_publicacao,outras_edicoes_nome_pais,indicador_semifinalista,indicador_finalista,indicador_vencedor
2020,,,,Josina,,Romance,Cabo Verde,,Joao Henrique Cruz,,,,,,,,,Livraria Pedro Cardoso,Cabo Verde,-,,,,,,,,,,,,Não,Não,Não
2015,,,,"Canos, ventos e mares",,Poesia,,,Laerte Tavares,,,,,,,,,Unisul,,-,,,,,,,,,,,,Não,Não,Não
2015,,,,Contêiner,,Conto,,,Rubens Venancio,,,,,,,,,America,,-,,,,,,,,,,,,Não,Não,Não
2015,,,,Peito aberto,,Poesia,,,Josue Setta,,,,,,,,,Pandorga,,-,,,,,,,,,,,,Não,Não,Não
2015,,,,140 caracteres pra você,,Conto,,,Mario Rubens Almeida De Mello,,,,,,,,,Arte & Ciência,,-,,,,,,,,,,,,Não,Não,Não
2016,,,,Anamélia,,Conto,,,Alec Silva,,,,,,,,,EX!,,-,,,,,,,,,,,,Não,Não,Não
2016,,,,Voos da manhã,,Poesia,,,Maria De Lourdes Alba,,,,,,,,,Frutos,,-,,,,,,,,,,,,Não,Não,Não
2016,,,,Quando me descobri negra,,Romance,,,Bianca Santana,,,,,,,,,SESI-SP,,-,,,,,,,,,,,,Não,Não,Não
2016,,,,[sem título],,Poesia,,,Rodrigo Otavio Maroja Barata,,,,,,,,,Samauma,,-,,,,,,,,,,,,Não,Não,Não
2016,,,,Transbordar,,Poesia,,,Bruna Zerlini,,,,,,,,,LiteraCidade,,-,,,,,,,,,,,,Não,Não,Não
2017,,,,Vírgula,9789899964013,Poesia,,,Vitor Hugo Moreira,,,Portugal,,,,,,Euedito,,-,,,,,,,,,,,,Não,Não,Não
2017,,,,O Recomeço,9788578286095,Romance,,,Paulo A Souza,,,Brasil,,,,,,Protexto,,-,,,,,,,,,,,,Não,Não,Não
2017,,,,A noite que nunca acaba,9788555640216,Conto,,,Carlos Henrique Dias Fialho,,,Brasil,,,,,,Jovens Escribas,,-,,,,,,,,,,,,Não,Não,Não
2017,,,,O extraordinário: Se procurar aparece Se ajudar acontece,9788574924106,Romance,,,Gyorgy Miklos Bohm,,,Brasil,,,,,,Nova Alexandria,,-,,,,,,,,,,,,Não,Não,Não
2017,,,,Viagens de um sade moderado,9788544803028,Conto,,,Andre Rocha De Miranda,,,Brasil,,,,,,Costelas Felinas,,-,,,,,,,,,,,,Não,Não,Não
2017,,,,HAUSSÁ 1815 COMARCA DAS ALAGOAS,9788575720479,Romance,,,Julio Cesar Farias De Andrade,,,Brasil,,,,,,Fundação Palmares,,-,,,,,,,,,,,,Não,Não,Não
2018,,,,Geometria do abismo,,Poesia,Brasil,,Solange Firmino De Souza,,,,Brasileira,,,,,Gramma,,-,,,,,,,,,,,,Não,Não,Não
2018,,,,Na baixa dos sapateiros,,Crônica,Brasil,,Leopoldo Bokor,,,,Brasileira,,,,,Expoart,,-,,,,,,,,,,,,Não,Não,Não
2018,,,,O livro da imitação e do esquecimento,,Romance,Brasil,,Luis S. Kraus,,,,Brasileira,,,,,Benvirá,,-,,,,,,,,,,,,Sim,Não,Não
2018,,,,60 verdades abertas,,Poesia,Brasil,,Maria Luisa Zebrowski,,,,Brasileira,,,,,Evangraf,,-,,,,,,,,,,,,Não,Não,Não
2018,,,,O abc do seu nico,,Romance,Brasil,,Ronald Acioli Da Silveira,,,,Brasileira,,,,,Unipalmares,,-,,,,,,,,,,,,Não,Não,Não
2018,,,,[o dos] bonecos e [a das] pretinhas,,Romance,Brasil,,Guina Araujo Ramos,,,,Brasileira,,,,,Guina & dita,,-,,,,,,,,,,,,Não,Não,Não
2018,,,,Lave a boca pra falar de poesia,,Poesia,Brasil,,Maria Helena Rodrigues Fuao,,,,Brasileira,,,,,Livraria Mundial,,-,,,,,,,,,,,,Não,Não,Não
2019,,,,Dodecanese ,,Conto,Brasil,,Martins Cancela,,,,Brasileira,,,,,Kazua,,-,,,,,,,,,,,,Não,Não,Não
2019,,,,As louras da minha vida,,Conto,Brasil,,Fernando Neves,,,,Brasileira,,,,,Bandeirola,,-,,,,,,,,,,,,Não,Não,Não
2019,,,,A ilha fantasma,,Romance,Brasil,,Gileno Santos,,,,Brasileira,,,,,Biblioteca 24 Horas,,-,,,,,,,,,,,,Não,Não,Não
2020,,,,Sal,,Poesia,Portugal,,Nuno Sousa,,,,,,,,,Oz,,-,,,,,,,,,,,,Não,Não,Não
2020,,,,"Não encontrei o passado, tenho que voltar",,Romance,Brasil,,Jose Carlos Mello,,,,,,,,,Octavo,,-,,,,,,,,,,,,Não,Não,Não
2020,,,,Entre risos e sustos,,Crônica,Brasil,,Ilma Pereira,,,,,,,,,Machado,,-,,,,,,,,,,,,Não,Não,Não
2020,,,,O livro da consolação,,Poesia,Portugal,,Mario Rui De Oliveira,,,,,,,,,Assírio & Alvim,,-,,,,,,,,,,,,Não,Não,Não
2020,,,,No sótão,,Romance,Brasil,,Luiz Carlos Osorio,,,,,,,,,Mais que palavras,,-,,,,,,,,,,,,Não,Não,Não
2020,,,,O universo num grão de areia,,Crônica,Moçambique / Portugal,,Mia Couto,,,,,,,,,Fundação Fernando Leite Couto / Caminho,,-,,,,,,,,,,,,Sim,Não,Não
2015,,,,Viagem à Calábria,,Romance,,,Sérgio Capparelli,,,,,,,,,Record,Brasil,-,1942,,,,,,,,,,,Sim,Não,Não
2015,,,,"Adeus, Fernando Pessoa",,Romance,,,Paulo Martins,,,,,,,,,7Letras,Brasil,-,1993,,,,,,,,,,,Não,Não,Não
2015,,,,Incansável procura,,Dramaturgia,,,Omar Botelho Do Amaral,,,,,,,,,Clube de Autores,Brasil,-,,,,,,,,,,,,Não,Não,Não
2015,,,,Poesia carioca,,Poesia,,,Claudio Leite,,,,,,,,,Poesias Escolhidas,Brasil,-,2022,,,,,,,,,,,Não,Não,Não
2015,,,,Sete anos,,Crônica,,,Fernanda Torres,,,,,,,,,Grupo Companhia das Letras,Brasil,-,1986,,,,,,,,,,,Não,Não,Não
2015,,,,Amor em dois tempos,,Romance,,,Livia Garciaroza,,,,,,,,,Grupo Companhia das Letras,Brasil,-,1986,,,,,,,,,,,Não,Não,Não
2016,,,,Desperdiçando rima,,Poesia,,,Karina Buhr,,,,,,,,,Rocco,Brasil,-,1975,,,,,,,,,,,Não,Não,Não
2016,,,,Na escuridão não existe cor-de-rosa,,Conto,,,Cinthia Kriemler,,,,,,,,,Patuá,Brasil,-,2010,,,,,,,,,,,Sim,Não,Não
